09:26:50,927494 len:66, 192.168.43.36:10873 -> 192.168.43.36:443, flags:[SYN]
09:26:51,065190 len:122, 26.64.218.88:24584 -> 26.64.218.88:11283, flags:[]
09:26:51,735671 len:79, 192.168.43.36:51113 -> 192.168.43.36:53, flags:[FIN]
09:26:51,798195 len:79, 192.168.43.36:51113 -> 192.168.43.36:53, flags:[FIN]
09:26:51,887366 len:95, 192.168.43.1:53 -> 192.168.43.1:51113, flags:[FIN]
09:26:51,887930 len:1392, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:52,039604 len:1392, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:52,189355 len:86, 26.64.218.88:24590 -> 26.64.218.88:47321, flags:[]
09:26:52,340775 len:1392, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:52,440841 len:86, 26.64.218.88:24591 -> 26.64.218.88:33005, flags:[]
09:26:52,490569 len:66, 192.168.43.36:10876 -> 192.168.43.36:443, flags:[SYN]
09:26:52,741936 len:66, 192.168.43.36:10877 -> 192.168.43.36:443, flags:[SYN]
09:26:52,942170 len:1392, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:54,142955 len:1392, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:54,184121 len:66, 192.168.43.36:10878 -> 192.168.43.36:443, flags:[SYN]
09:26:54,456439 len:66, 192.168.43.36:10879 -> 192.168.43.36:443, flags:[SYN]
09:26:54,495245 len:66, 192.168.43.36:10880 -> 192.168.43.36:443, flags:[SYN]
09:26:54,555990 len:86, 26.64.218.88:24577 -> 26.64.218.88:62782, flags:[]
09:26:54,822256 len:86, 26.64.218.88:24576 -> 26.64.218.88:20752, flags:[]
09:26:54,822454 len:86, 26.64.218.88:24577 -> 26.64.218.88:26916, flags:[]
09:26:55,175384 len:66, 192.168.43.36:10884 -> 192.168.43.36:443, flags:[SYN]
09:26:55,191061 len:86, 26.64.218.88:24590 -> 26.64.218.88:47321, flags:[]
09:26:55,255080 len:86, 26.64.218.88:24585 -> 26.64.218.88:47923, flags:[]
09:26:55,441404 len:86, 26.64.218.88:24591 -> 26.64.218.88:33005, flags:[]
09:26:55,491273 len:66, 192.168.43.36:10876 -> 192.168.43.36:443, flags:[SYN]
09:26:55,602952 len:42, 135.71.192.168:1 -> 135.71.192.168:2048, flags:[FIN,SYN,RST]
09:26:55,603041 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:55,610282 len:42, 7.98.192.168:1 -> 7.98.192.168:2048, flags:[SYN,URG]
09:26:55,610554 len:78, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:26:55,855306 len:66, 192.168.43.36:10877 -> 192.168.43.36:443, flags:[SYN]
09:26:55,888243 len:122, 26.64.218.88:24576 -> 26.64.218.88:52052, flags:[]
09:26:56,365922 len:86, 26.64.218.88:24585 -> 26.64.218.88:50744, flags:[]
09:26:56,618246 len:86, 26.64.218.88:24584 -> 26.64.218.88:65036, flags:[]
09:26:56,722105 len:66, 192.168.43.36:10872 -> 192.168.43.36:443, flags:[SYN]
09:26:56,927449 len:66, 192.168.43.36:10873 -> 192.168.43.36:443, flags:[SYN]
09:26:57,183748 len:66, 192.168.43.36:10878 -> 192.168.43.36:443, flags:[SYN]
09:26:57,504902 len:66, 192.168.43.36:10880 -> 192.168.43.36:443, flags:[SYN]
09:26:57,521843 len:66, 192.168.43.36:10879 -> 192.168.43.36:443, flags:[SYN]
09:26:57,556080 len:86, 26.64.218.88:24577 -> 26.64.218.88:62782, flags:[]
09:26:57,823045 len:86, 26.64.218.88:24577 -> 26.64.218.88:26916, flags:[]
09:26:57,823122 len:86, 26.64.218.88:24576 -> 26.64.218.88:20752, flags:[]
09:26:58,176108 len:66, 192.168.43.36:10884 -> 192.168.43.36:443, flags:[SYN]
09:26:58,321806 len:86, 26.64.218.88:24585 -> 26.64.218.88:47923, flags:[]
09:27:00,662640 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:27:00,662674 len:86, 0.0.0.0:24576 -> 0.0.0.0:0, flags:[]
09:27:01,195033 len:86, 26.64.218.88:24590 -> 26.64.218.88:47321, flags:[]
09:27:01,446332 len:86, 26.64.218.88:24591 -> 26.64.218.88:33005, flags:[]
09:27:01,492233 len:66, 192.168.43.36:10876 -> 192.168.43.36:443, flags:[SYN]
09:27:01,602909 len:42, 135.71.192.168:1 -> 135.71.192.168:2048, flags:[FIN,SYN,RST]
09:27:01,607101 len:42, 7.98.192.168:1 -> 7.98.192.168:2048, flags:[SYN,URG]
